BindingDB Reactant_set_id,Ligand SMILES,Ligand InChI,Ligand InChI Key,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Target Source Organism According to Curator or DataSource,IC50 (nM)
1254357,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CC2(CCN2C(=O)C=C)C1)-c1cccnc1[C@H](C)OC,"InChI=1S/C49H63N9O7S/c1-10-40(59)57-21-18-49(57)26-55(27-49)47(63)54(8)42(29(3)4)44(60)52-36-23-39-51-37(25-66-39)31-16-17-38-33(22-31)34(43(56(38)11-2)32-14-12-19-50-41(32)30(5)64-9)24-48(6,7)28-65-46(62)35-15-13-20-58(53-35)45(36)61/h10,12,14,16-17,19,22,25,29-30,35-36,42,53H,1,11,13,15,18,20-21,23-24,26-28H2,2-9H3,(H,52,60)/t30-,35-,36-,42-/m0/s1",DRVMGVVNDWWKNG-BJZXTERBSA-N,591714,"US11566007, Example A393",GTPase NRas [G12C],, 550
1254358,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCC2(CN(C2)C(=O)C=C)CC1)-c1cccnc1[C@H](C)OC,"InChI=1S/C51H67N9O7S/c1-10-42(61)58-28-51(29-58)18-22-57(23-19-51)49(65)56(8)44(31(3)4)46(62)54-38-25-41-53-39(27-68-41)33-16-17-40-35(24-33)36(45(59(40)11-2)34-14-12-20-52-43(34)32(5)66-9)26-50(6,7)30-67-48(64)37-15-13-21-60(55-37)47(38)63/h10,12,14,16-17,20,24,27,31-32,37-38,44,55H,1,11,13,15,18-19,21-23,25-26,28-30H2,2-9H3,(H,54,62)/t32-,37-,38-,44-/m0/s1",LJKVKJWVKXORLN-NEIGFUHISA-N,591715,"US11566007, Example A394",GTPase NRas [G12C],, 55.0
1254359,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(CC11CC1)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C50H65N9O7S/c1-10-41(60)56-22-23-58(50(28-56)18-19-50)48(64)55(8)43(30(3)4)45(61)53-37-25-40-52-38(27-67-40)32-16-17-39-34(24-32)35(44(57(39)11-2)33-14-12-20-51-42(33)31(5)65-9)26-49(6,7)29-66-47(63)36-15-13-21-59(54-36)46(37)62/h10,12,14,16-17,20,24,27,30-31,36-37,43,54H,1,11,13,15,18-19,21-23,25-26,28-29H2,2-9H3,(H,53,61)/t31-,36-,37-,43-/m0/s1",PSJZDTDTUXYRBN-DHUQGQIFSA-N,591716,"US11566007, Example A395",GTPase NRas [G12C],, 550
1254360,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@]1(F)CN(C[C@H]1F)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C51H63F2N7O7/c1-10-42(61)58-27-41(52)51(53,28-58)49(65)57(8)44(30(3)4)46(62)55-39-24-32-15-12-16-33(23-32)34-19-20-40-36(25-34)37(45(59(40)11-2)35-17-13-21-54-43(35)31(5)66-9)26-50(6,7)29-67-48(64)38-18-14-22-60(56-38)47(39)63/h10,12-13,15-17,19-21,23,25,30-31,38-39,41,44,56H,1,11,14,18,22,24,26-29H2,2-9H3,(H,55,62)/t31-,38-,39-,41+,44-,51-/m0/s1",FJTMPAAQSGOJMF-QUHBGYJFSA-N,591717,"US11566007, Example A396",GTPase NRas [G12C],, 55.0
1254361,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@]1(F)CN(C[C@@H]1F)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C51H63F2N7O7/c1-10-42(61)58-27-41(52)51(53,28-58)49(65)57(8)44(30(3)4)46(62)55-39-24-32-15-12-16-33(23-32)34-19-20-40-36(25-34)37(45(59(40)11-2)35-17-13-21-54-43(35)31(5)66-9)26-50(6,7)29-67-48(64)38-18-14-22-60(56-38)47(39)63/h10,12-13,15-17,19-21,23,25,30-31,38-39,41,44,56H,1,11,14,18,22,24,26-29H2,2-9H3,(H,55,62)/t31-,38-,39-,41-,44-,51-/m0/s1",FJTMPAAQSGOJMF-JTSHZTNHSA-N,591718,"US11566007, Example A397",GTPase NRas [G12C],, 55.0
1254362,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C1CC1)C(=O)[C@H]1CCN(C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C53H67N7O7/c1-9-45(61)57-25-22-37(30-57)50(63)60(38-19-20-38)47(32(3)4)49(62)55-43-27-34-14-11-15-35(26-34)36-18-21-44-40(28-36)41(48(58(44)10-2)39-16-12-23-54-46(39)33(5)66-8)29-53(6,7)31-67-52(65)42-17-13-24-59(56-42)51(43)64/h9,11-12,14-16,18,21,23,26,28,32-33,37-38,42-43,47,56H,1,10,13,17,19-20,22,24-25,27,29-31H2,2-8H3,(H,55,62)/t33-,37-,42-,43-,47-/m0/s1",LOQCSJRDNUTKPC-OYRDJQLASA-N,591719,"US11566007, Example A398",GTPase NRas [G12C],, 5500
1254363,CCN([C@@H](C(C)C)C(=O)N[C@H]1Cc2cccc(c2)-c2ccc3n(CC)c(c(CC(C)(C)COC(=O)[C@@H]4CCCN(N4)C1=O)c3c2)-c1cccnc1[C@H](C)OC)C(=O)[C@H]1CCN(C1)C(=O)C=C,"InChI=1S/C52H67N7O7/c1-10-44(60)56-25-22-37(30-56)49(62)58(12-3)46(32(4)5)48(61)54-42-27-34-16-13-17-35(26-34)36-20-21-43-39(28-36)40(47(57(43)11-2)38-18-14-23-53-45(38)33(6)65-9)29-52(7,8)31-66-51(64)41-19-15-24-59(55-41)50(42)63/h10,13-14,16-18,20-21,23,26,28,32-33,37,41-42,46,55H,1,11-12,15,19,22,24-25,27,29-31H2,2-9H3,(H,54,61)/t33-,37-,41-,42-,46-/m0/s1",KSLVLGZWKXHFJJ-CWWCTHGTSA-N,591720,"US11566007, Example A399",GTPase NRas [G12C],, 550
1254364,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CN(C[C@H]1C(F)(F)F)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C52H64F3N7O7/c1-10-43(63)60-27-38(39(28-60)52(53,54)55)48(65)59(8)45(30(3)4)47(64)57-41-24-32-15-12-16-33(23-32)34-19-20-42-36(25-34)37(46(61(42)11-2)35-17-13-21-56-44(35)31(5)68-9)26-51(6,7)29-69-50(67)40-18-14-22-62(58-40)49(41)66/h10,12-13,15-17,19-21,23,25,30-31,38-41,45,58H,1,11,14,18,22,24,26-29H2,2-9H3,(H,57,64)/t31-,38-,39+,40-,41-,45-/m0/s1",DRSFHIJMLVTWMJ-VLBRFTDJSA-N,591721,"US11566007, Example A400",GTPase NRas [G12C],, 55.0
1254365,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]1CN(C[C@@H]1C(F)(F)F)C(=O)C=C)-c1cccnc1[C@H](C)OC,"InChI=1S/C52H64F3N7O7/c1-10-43(63)60-27-38(39(28-60)52(53,54)55)48(65)59(8)45(30(3)4)47(64)57-41-24-32-15-12-16-33(23-32)34-19-20-42-36(25-34)37(46(61(42)11-2)35-17-13-21-56-44(35)31(5)68-9)26-51(6,7)29-69-50(67)40-18-14-22-62(58-40)49(41)66/h10,12-13,15-17,19-21,23,25,30-31,38-41,45,58H,1,11,14,18,22,24,26-29H2,2-9H3,(H,57,64)/t31-,38+,39-,40-,41-,45-/m0/s1",DRSFHIJMLVTWMJ-QFZUCBDTSA-N,591722,"US11566007, Example A401",GTPase NRas [G12C],, 5500
1254366,CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C1CCCC1)N(C)C(=O)[C@@H]1CN(C[C@@H]1C)C(=O)C#CC)-c1cccnc1[C@H](C)OC,"InChI=1S/C55H69N7O7/c1-9-16-47(63)60-31-34(3)43(32-60)52(65)59(7)49(37-18-11-12-19-37)51(64)57-45-28-36-17-13-20-38(27-36)39-23-24-46-41(29-39)42(50(61(46)10-2)40-21-14-25-56-48(40)35(4)68-8)30-55(5,6)33-69-54(67)44-22-15-26-62(58-44)53(45)66/h13-14,17,20-21,23-25,27,29,34-35,37,43-45,49,58H,10-12,15,18-19,22,26,28,30-33H2,1-8H3,(H,57,64)/t34-,35-,43+,44-,45-,49-/m0/s1",OOFCHSMVPFZMKF-WXFKIZDCSA-N,591723,"US11566007, Example A402",GTPase NRas [G12C],, 550
