SMILES,Formula,Molecular weight,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds
CCOc1cc(-c2ccc(nc2)N2CCC(CN3CCN(CC)[C@H](C)C3)(CC2)C(=O)NCC(C)C)c2c(cnn2c1)C#N,C33H46N8O2,586.3743727120001,4.051480000000002,1,9,102.03,10
FC1CC(C1)n1cnc(c1-c1ccc2ncc(C#N)n2n1)-c1ccc(F)c(Cl)c1,C20H13ClF2N6,410.08582853600007,4.596980000000002,0,6,71.8,3
CS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)-c1ccc(F)cc1,C20H18FN3O3S,399.105290656,3.244180000000002,2,4,102.82,6
COc1cc(cc(OC)c1OC)-c1cc(=O)c2cc(O)ccc2o1,C18H16O6,328.09468823199995,3.1914000000000016,1,6,78.13000000000001,4
CC(C)n1cc(C(=O)Nc2ccc(Oc3cc(cn4nccc34)N3CCS(=O)(=O)CC3)c(F)c2)c(=O)n(-c2ccc(F)cc2)c1=O,C31H28F2N6O6S,650.175910056,3.7854000000000028,1,11,137.01,7
O=C(NCCCCN1CCN(CC1)c1ccccc1)c1cc2ccccc2o1,C23H27N3O2,377.210327104,3.7650000000000023,1,4,48.720000000000006,7
Fc1ccccc1Cn1nc(cc1-c1ccon1)-c1nccc(NS(=O)(=O)CC(F)(F)F)n1,C19H14F4N6O3S,482.078422188,3.4865000000000013,1,8,115.8,7
Cc1noc(C)c1-c1ccc(cc1)-c1nc2cnccn2c1NC(C)(C)C,C21H23N5O,361.19026035600007,4.878540000000004,1,6,68.25,3
Nc1nc(N)c2c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)coc2n1,C19H21N5O6S,447.1212543919999,1.6717999999999997,5,9,194.65999999999997,10
CN1CCc2cc(ccc2C(C1)NC(=O)c1cn(nn1)C(C)(C)C)-c1ccnc(Nc2cnn(C)c2)n1,C26H32N10O,500.2760556440001,2.9262000000000006,2,10,118.67999999999999,5
Cc1nn(C)c2n(Cc3ccccc3)cc(C(=O)NC3CCCCC3)c(=O)c12,C22H26N4O2,378.205576072,3.1542200000000014,1,5,68.92,4
Fc1ccc(nc1)-c1ccn(CC2OCCCN2C(=O)c2cc(F)ccc2-c2ncccn2)n1,C24H20F2N6O2,462.16158032000004,3.5691000000000015,0,7,86.03,5
CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3CNC(=O)c3c3-c4cn(C)nc4CCc3c12,C28H27N7O,477.22770848400006,4.726600000000003,2,7,89.66000000000001,4
CCS(=O)(=O)Nc1cccc(c1)-c1ccc(cn1)[C@H]1C[C@@H]1N,C16H19N3O2S,317.1197978480001,2.3248,2,4,85.08,5
CCN(CC)C(=O)CC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)c1nccs1,C31H45N5O6S,615.30905516,3.941100000000003,3,8,146.8,17
CC(=O)N1CCC(CC1)C(=O)N1N=CC[C@H]1c1ccccc1,C17H21N3O2,299.163376912,2.2043,0,3,52.980000000000004,2
Cc1cc(COc2ccc(cc2)C(=O)NCC2(N3CCN(CC3)S(C)(=O)=O)C(=O)NC(=O)NC2=O)c2ccccc2n1,C28H30N6O7S,594.1896682999999,0.5340200000000025,3,9,167.11,8
CC(=O)c1c(O)c(OCc2ccccc2)c2occc2c1OCc1ccccc1,C24H20O5,388.13107374,5.499000000000004,1,5,68.9,7
COc1ccc(cc1O)-c1c2c(n3ccc4cc(OC)c(OC)cc4c13)c(=O)oc1cc(OS([O-])(=O)=O)c(OC)cc21,C29H22NO11S-,592.0919051039099,4.598100000000003,1,12,158.2,7
Cc1cccc2cc3CN(Cc4ccco4)\C(Sc3nc12)=N\CC1CCCO1,C22H23N3O2S,393.151097976,4.779120000000004,0,5,50.86,4
C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(n1)-c1ccc2[nH]ccc2c1,C19H22N4O3S,386.14126156400005,2.3946000000000005,1,6,88.18,4
COc1ccc(nc1)C(=O)Nc1ccc(cc1)C1CCNC1,C17H19N3O2,297.14772684800005,2.4194000000000004,2,4,63.25,4
CN(C)c1ccc2nc3ccc(cc3sc2c1)=[N+](C)C,C16H18N3S+,284.12159499609,2.498900000000001,0,3,19.14,1
CC(=O)NCCNc1cccc2ccccc12,C14H16N2O,228.126263132,2.3878000000000004,2,2,41.13,4
